CHROM,Comparison,SD,MIN,MAX,MEAN
1,broiler line A vs broiler line B,0.07247201635430423,-0.025803799999999998,0.514702,0.08910295526378818
1,broiler line A vs brown layer,0.15011467106389345,-0.0128486,0.886084,0.30217537707795644
1,broiler line A vs red junglefowl,0.09059798929182662,-0.0108457,0.769385,0.19072160027879528
1,broiler line A vs white layer,0.15988888686514405,-0.0132856,0.978433,0.3538650232783715
1,broiler line B vs brown layer,0.15128562518292815,-0.0292616,0.941124,0.31577954387585294
1,broiler line B vs red junglefowl,0.08975969403263019,-0.0123397,0.795896,0.20669320160952284
1,broiler line B vs white layer,0.16288801634846284,-0.0246161,0.931477,0.3847910306535016
1,brown layer vs red junglefowl,0.11784992111859163,-0.0121757,0.80262,0.30224025380482344
1,brown layer vs white layer,0.1915473199556842,-0.0100858,0.999193,0.5114120121901264
1,ixworth vs broiler line A,0.1057771382601917,-0.00520888,0.704788,0.18950468845484134
1,ixworth vs broiler line B,0.11236905913439918,-0.016711,0.731343,0.20455359782170462
1,ixworth vs brown layer,0.1444404103251098,-0.00937504,0.8738,0.32011519031835384
1,ixworth vs red junglefowl,0.09557595864227195,0.0124231,0.760272,0.23690720267466694
1,ixworth vs white layer,0.1500073453618895,-0.00474666,0.948801,0.37728085604293854
1,white layer vs red junglefowl,0.11779678319672893,0.022701,0.844007,0.3845655308976186
2,broiler line A vs broiler line B,0.0726222018028311,-0.0322935,0.505425,0.09694213131973702
2,broiler line A vs brown layer,0.16001382492401836,-0.0227108,0.90539,0.32343692535582985
2,broiler line A vs red junglefowl,0.08052308351786389,0.00137078,0.767233,0.18453241125150904
2,broiler line A vs white layer,0.1609296778292923,-0.0184571,0.939879,0.39614506322463766
2,broiler line B vs brown layer,0.17859760341369324,-0.0219923,0.99651,0.347954146316369
2,broiler line B vs red junglefowl,0.09449466836023909,5.65934e-4,0.736383,0.20800310306198014
2,broiler line B vs white layer,0.17553312137611862,-0.0146631,0.999726,0.42632380157244526
2,brown layer vs red junglefowl,0.12184180984662801,0.0286998,0.835528,0.3092291672390663
2,brown layer vs white layer,0.20469473640918617,-0.00163601,0.999339,0.5525832964575225
2,ixworth vs broiler line A,0.09462608913284819,-0.00982485,0.648529,0.18059665470633218
2,ixworth vs broiler line B,0.09979760289594161,-0.0150062,0.620306,0.19402269725972632
2,ixworth vs brown layer,0.12922191340223646,-0.0135805,0.844225,0.3161840355413201
2,ixworth vs red junglefowl,0.08058014619474385,0.00772944,0.74244,0.19630642384842387
2,ixworth vs white layer,0.1389401502128784,0.00621615,0.985292,0.37211913444966443
2,white layer vs red junglefowl,0.11930511676306382,0.0377323,0.867912,0.38517884068956265
3,broiler line A vs broiler line B,0.0681738029059175,-0.0223593,0.515225,0.09986795718302376
3,broiler line A vs brown layer,0.14248389312431686,-0.00275533,0.872576,0.31629163076337263
3,broiler line A vs red junglefowl,0.07129050797509197,-0.00373968,0.549415,0.1731668906727108
3,broiler line A vs white layer,0.15336865796312987,-0.00470683,0.98254,0.3718942391984041
3,broiler line B vs brown layer,0.14772861115590274,-0.0157743,0.891443,0.332679983614589
3,broiler line B vs red junglefowl,0.0819147288828865,0.00706768,0.684016,0.19406685289702683
3,broiler line B vs white layer,0.17065261004240795,-0.0108281,0.999146,0.3915853056834663
3,brown layer vs red junglefowl,0.1199507526416304,0.0199174,0.78232,0.32110188975521303
3,brown layer vs white layer,0.1996185244708361,-0.0129836,1,0.5415311580346328
3,ixworth vs broiler line A,0.08850010825921593,-0.00352883,0.583839,0.16440784679912981
3,ixworth vs broiler line B,0.0962906482555131,-0.0163502,0.693105,0.18223743854042784
3,ixworth vs brown layer,0.13330735208480798,2.42716e-4,0.820497,0.31262515145685277
3,ixworth vs red junglefowl,0.07727537405655532,-0.00115574,0.61137,0.19336675180746918
3,ixworth vs white layer,0.13554522680280034,0.0149299,0.85142,0.34405509408992024
3,white layer vs red junglefowl,0.11594956396697909,0.0234061,0.805734,0.38893501760652766
4,broiler line A vs broiler line B,0.07577999035085627,-0.0238095,0.525958,0.09393152000627476
4,broiler line A vs brown layer,0.15596467218111537,-0.00419291,0.90855,0.3438593487626596
4,broiler line A vs red junglefowl,0.07614648536360732,0.0171001,0.692761,0.2089747010788199
4,broiler line A vs white layer,0.15790300831866386,0.0278147,0.959741,0.3784154020255394
4,broiler line B vs brown layer,0.15843146868663358,-0.00170844,0.962569,0.3373667079326288
4,broiler line B vs red junglefowl,0.0812991324873243,0.0205518,0.667178,0.20884287272126817
