label,x,y,plot_type,plot_num
ixworth,0.0,8351.326586774465,path,0
ixworth,687.9173553006613,8351.326586774465,path,0
ixworth,743.0013118586585,8351.326586774465,path,0
ixworth,802.4960341092257,8351.326586774465,path,0
ixworth,866.7547075388524,8351.326586774465,path,0
ixworth,936.1587984352694,8351.326586774465,path,0
ixworth,1011.1203184304399,8351.326586774465,path,0
ixworth,1092.0842703734581,8351.326586774465,path,0
ixworth,1179.5312900530705,45530.39422115982,path,0
ixworth,1273.9804994521921,49736.18539962829,path,0
ixworth,1375.9925884725208,179355.4009277216,path,0
ixworth,1486.1731434236603,179355.4009277216,path,0
ixworth,1605.1762420360385,182961.10964801733,path,0
ixworth,1733.708336339137,182961.10964801733,path,0
ixworth,1872.5324464553933,182961.10964801733,path,0
ixworth,2022.4726902059058,536264.0939055372,path,0
ixworth,2184.41917541756,536264.0939055372,path,0
ixworth,2359.333283974347,929247.4985635163,path,0
ixworth,2548.253378981223,1173502.4173464333,path,0
ixworth,2752.3009689206015,1173502.4173464333,path,0
ixworth,2972.6873653944854,1173502.4173464333,path,0
ixworth,3210.7208739753687,1030666.6452863988,path,0
ixworth,3467.81456085381,805847.7497890077,path,0
ixworth,3745.4946413887365,283111.5471058369,path,0
ixworth,4045.4095403583915,283111.5471058369,path,0
ixworth,4369.339677697369,38810.882090401996,path,0
ixworth,4719.208037811972,38810.882090401996,path,0
ixworth,5097.091585217707,38810.882090401996,path,0
ixworth,5505.233594266968,85438.26786574181,path,0
ixworth,5946.056966161243,85438.26786574181,path,0
ixworth,6422.178612303246,85438.26786574181,path,0
ixworth,6936.424989374511,226489.10127122424,path,0
ixworth,7491.8488783611765,226489.10127122424,path,0
ixworth,8091.747507135211,382291.8357512758,path,0
ixworth,8739.68212417436,382291.8357512758,path,0
ixworth,9439.499139618492,382291.8357512758,path,0
ixworth,10195.352959164504,382291.8357512758,path,0
ixworth,11011.730646351385,382291.8357512758,path,0
ixworth,11893.47855964088,382291.8357512758,path,0
ixworth,12845.831122422784,382291.8357512758,path,0
ixworth,13874.441896735405,382291.8357512758,path,0
ixworth,14985.417145167983,382291.8357512758,path,0
ixworth,16185.352080182272,382291.8357512758,path,0
ixworth,17481.37001604463,382291.8357512758,path,0
ixworth,18881.164655790588,382291.8357512758,path,0
ixworth,20393.045764255137,553335.9479135551,path,0
ixworth,22025.98849830277,553335.9479135551,path,0
ixworth,23789.686687102192,553335.9479135551,path,0
ixworth,25694.610378739493,553335.9479135551,path,0
ixworth,27752.06799479069,553335.9479135551,path,0
ixworth,29974.273461828976,553335.9479135551,path,0
ixworth,32374.418718387136,553335.9479135551,path,0
ixworth,34966.7520278072,553335.9479135551,path,0
ixworth,37766.66256187444,553335.9479135551,path,0
ixworth,40790.77175736,553335.9479135551,path,0
ixworth,44057.03198780231,553335.9479135551,path,0
ixworth,47584.83313628436,553335.9479135551,path,0
ixworth,51395.11770186715,553335.9479135551,path,0
ixworth,55510.50512299926,553335.9479135551,path,0
ixworth,59955.42605593802,553335.9479135551,path,0
ixworth,64756.267405315084,553335.9479135551,path,0
ixworth,69941.52896780818,553335.9479135551,path,0
ixworth,75541.99261882162,712350.2525749521,path,0
ixworth,81590.90504653772,712350.2525749521,path,0
ixworth,88124.17511812483,712350.2525749521,path,0
ixworth,95180.58704975074,866693.0096912192,path,0
ixworth,102802.03064586654,866693.0096912192,path,0
ixworth,111033.74997455806,866693.0096912192,path,0
ixworth,119924.61195520546,866693.0096912192,path,0
ixworth,129527.39645289855,866693.0096912192,path,0
ixworth,139899.10960173106,866693.0096912192,path,0
ixworth,151101.3222169894,866693.0096912192,path,0
ixworth,163200.53530519377,866693.0096912192,path,0
ixworth,176268.57484180952,866693.0096912192,path,0
ixworth,190383.01816019716,866693.0096912192,path,0
ixworth,205627.65448302001,866693.0096912192,path,0
ixworth,222092.98233001868,866693.0096912192,path,0
ixworth,239876.74675497046,866693.0096912192,path,0
ixworth,259084.51960109887,866693.0096912192,path,0
ixworth,279830.3262195684,866693.0096912192,path,0
ixworth,302237.3223715294,866693.0096912192,path,0
ixworth,326438.52533208317,866693.0096912192,path,0
ixworth,352577.6035363104,934026.515114194,path,0
ixworth,380809.72945502424,934026.515114194,path,0
ixworth,411302.5007632801,988912.0059218651,path,0
ixworth,444236.9352700797,988912.0059218651,path,0
ixworth,479808.5455155864,962344.6895557797,path,0
ixworth,518228.49941511406,962344.6895557797,path,0
ixworth,559724.8738399486,962344.6895557797,path,0
ixworth,604544.0085767881,962344.6895557797,path,0
ixworth,652951.9687034618,962344.6895557797,path,0
ixworth,705236.124062212,962344.6895557797,path,0
ixworth,761706.8552069359,962344.6895557797,path,0
ixworth,822699.395951616,962344.6895557797,path,0
ixworth,888575.823458061,717123.4787302774,path,0
ixworth,959727.207676966,422881.26431135455,path,0
ixworth,1036575.9329022521,422881.26431135455,path,0
ixworth,1119578.2052204108,422881.26431135455,path,0
ixworth,1209226.7607401195,422881.26431135455,path,0
ixworth,1306053.7906792962,422881.26431135455,path,0
ixworth,1410634.100674154,423350.54187670955,path,0
red_junglefowl,0.0,320177.7270417551,path,1
red_junglefowl,50168.45227106524,320177.7270417551,path,1
red_junglefowl,51872.784718621566,320177.7270417551,path,1
red_junglefowl,53635.017080572274,320177.7270417551,path,1
red_junglefowl,55457.11634410445,320177.7270417551,path,1
red_junglefowl,57341.11631927764,320177.7270417551,path,1
red_junglefowl,59289.11990914345,320177.7270417551,path,1
red_junglefowl,61303.30145698623,320177.7270417551,path,1
red_junglefowl,63385.90917330457,320177.7270417551,path,1
red_junglefowl,65539.26764524268,320177.7270417551,path,1
red_junglefowl,67765.78043127275,320177.7270417551,path,1
red_junglefowl,70067.93274402425,320177.7270417551,path,1
red_junglefowl,72448.29422425492,320177.7270417551,path,1
red_junglefowl,74909.52180905966,320177.7270417551,path,1
red_junglefowl,77454.36269751863,320177.7270417551,path,1
red_junglefowl,80085.65741709509,320177.7270417551,path,1
red_junglefowl,82806.34299420542,320177.7270417551,path,1
red_junglefowl,85619.4562325004,320177.7270417551,path,1
red_junglefowl,88528.1371025168,320177.7270417551,path,1
red_junglefowl,91535.63224648313,320177.7270417551,path,1
red_junglefowl,94645.29860219095,320177.7270417551,path,1
red_junglefowl,97860.60714997738,320177.7270417551,path,1
red_junglefowl,101185.1467870007,485951.18424057245,path,1
red_junglefowl,104622.6283331336,485951.18424057245,path,1
red_junglefowl,108176.88867294535,485951.18424057245,path,1
red_junglefowl,111851.89503839634,664302.3317097938,path,1
red_junglefowl,115651.7494370251,828620.5199877551,path,1
red_junglefowl,119580.69323057041,828620.5199877551,path,1
red_junglefowl,123643.11186913954,1036576.7432239352,path,1
red_junglefowl,127843.53978620624,1036576.7432239352,path,1
red_junglefowl,132186.66545990293,1036576.7432239352,path,1
red_junglefowl,136677.3366462557,1036576.7432239352,path,1
red_junglefowl,141320.56579020404,1036576.7432239352,path,1
red_junglefowl,146121.53562044492,1188605.051965683,path,1
red_junglefowl,151085.60493434555,1188605.051965683,path,1
red_junglefowl,156218.31457938268,1188605.051965683,path,1
red_junglefowl,161525.39363778455,1188605.051965683,path,1
red_junglefowl,167012.7658212784,1188605.051965683,path,1
red_junglefowl,172686.55608308208,1104383.9549867504,path,1
red_junglefowl,178553.0974545188,1104383.9549867504,path,1
red_junglefowl,184618.93811388747,1104383.9549867504,path,1
red_junglefowl,190890.8486954776,1104383.9549867504,path,1
red_junglefowl,197375.82984688756,973337.2239494568,path,1
red_junglefowl,204081.12004308167,973337.2239494568,path,1
red_junglefowl,211014.20366590787,868149.1520842586,path,1
red_junglefowl,218182.8193580944,868149.1520842586,path,1
red_junglefowl,225594.96866104964,775290.189997176,path,1
red_junglefowl,233258.92494610805,775290.189997176,path,1
red_junglefowl,241183.24264918867,775290.189997176,path,1
red_junglefowl,249376.76681917664,775290.189997176,path,1
red_junglefowl,257848.64299068344,775290.189997176,path,1
red_junglefowl,266608.3273922062,775290.189997176,path,1
red_junglefowl,275665.59750108153,687453.0645272597,path,1
red_junglefowl,285030.5629570135,687453.0645272597,path,1
red_junglefowl,294713.6768463583,687453.0645272597,path,1
red_junglefowl,304725.7473697613,687453.0645272597,path,1
red_junglefowl,315077.9499061683,687453.0645272597,path,1
red_junglefowl,325781.83948667906,687453.0645272597,path,1
red_junglefowl,336849.36369216413,695479.5123567991,path,1
red_junglefowl,348292.8759890419,698353.0180267068,path,1
red_junglefowl,360125.14951810194,706711.8554110996,path,1
red_junglefowl,372359.3913517646,706711.8554110996,path,1
red_junglefowl,385009.25723569095,715791.4823552624,path,1
red_junglefowl,398088.86683119775,715791.4823552624,path,1
