sample	unit	platform	fq1	fq2
CBL23	1	ILLUMINA	data/ERR2985629_R1.fastq.gz	data/ERR2985629_R2.fastq.gz
CWL1	1	ILLUMINA	data/ERR2985632_R1.fastq.gz	data/ERR2985632_R2.fastq.gz
CWL2	1	ILLUMINA	data/ERR2985633_R1.fastq.gz	data/ERR2985633_R2.fastq.gz
CWL3	1	ILLUMINA	data/ERR2985634_R1.fastq.gz	data/ERR2985634_R2.fastq.gz
CWL4	1	ILLUMINA	data/ERR2985635_R1.fastq.gz	data/ERR2985635_R2.fastq.gz
CWL5	1	ILLUMINA	data/ERR2985636_R1.fastq.gz	data/ERR2985636_R2.fastq.gz
CWL6	1	ILLUMINA	data/ERR2985637_R1.fastq.gz	data/ERR2985637_R2.fastq.gz
CWL7	1	ILLUMINA	data/ERR2985638_R1.fastq.gz	data/ERR2985638_R2.fastq.gz
CWL8	1	ILLUMINA	data/ERR2985639_R1.fastq.gz	data/ERR2985639_R2.fastq.gz
CWL9	1	ILLUMINA	data/ERR2985640_R1.fastq.gz	data/ERR2985640_R2.fastq.gz
CWL10	1	ILLUMINA	data/ERR2985641_R1.fastq.gz	data/ERR2985641_R2.fastq.gz
CWL11	1	ILLUMINA	data/ERR2985642_R1.fastq.gz	data/ERR2985642_R2.fastq.gz
CWL12	1	ILLUMINA	data/ERR2985643_R1.fastq.gz	data/ERR2985643_R2.fastq.gz
CWL13	1	ILLUMINA	data/ERR2985644_R1.fastq.gz	data/ERR2985644_R2.fastq.gz
CWL14	1	ILLUMINA	data/ERR2985645_R1.fastq.gz	data/ERR2985645_R2.fastq.gz
CWL15	1	ILLUMINA	data/ERR2985646_R1.fastq.gz	data/ERR2985646_R2.fastq.gz
CWL16	1	ILLUMINA	data/ERR2985647_R1.fastq.gz	data/ERR2985647_R2.fastq.gz
CWL17	1	ILLUMINA	data/ERR2985648_R1.fastq.gz	data/ERR2985648_R2.fastq.gz
CWL18	1	ILLUMINA	data/ERR2985649_R1.fastq.gz	data/ERR2985649_R2.fastq.gz
CWL19	1	ILLUMINA	data/ERR2985650_R1.fastq.gz	data/ERR2985650_R2.fastq.gz
CWL20	1	ILLUMINA	data/ERR2985651_R1.fastq.gz	data/ERR2985651_R2.fastq.gz
CWL21	1	ILLUMINA	data/ERR2985652_R1.fastq.gz	data/ERR2985652_R2.fastq.gz
CWL22	1	ILLUMINA	data/ERR2985653_R1.fastq.gz	data/ERR2985653_R2.fastq.gz
CWL23	1	ILLUMINA	data/ERR2985655_R1.fastq.gz	data/ERR2985655_R2.fastq.gz
CWL24	1	ILLUMINA	data/ERR2985656_R1.fastq.gz	data/ERR2985656_R2.fastq.gz
ix33	1	ILLUMINA	data/F01_L003_R1.fastq.gz	data/F01_L003_R2.fastq.gz
ix33	2	ILLUMINA	data/F01_L004_R1.fastq.gz	data/F01_L004_R2.fastq.gz
ix34	1	ILLUMINA	data/F02_L003_R1.fastq.gz	data/F02_L003_R2.fastq.gz
ix34	2	ILLUMINA	data/F02_L004_R1.fastq.gz	data/F02_L004_R2.fastq.gz
ix35	1	ILLUMINA	data/F03_L003_R1.fastq.gz	data/F03_L003_R2.fastq.gz
ix35	2	ILLUMINA	data/F03_L004_R1.fastq.gz	data/F03_L004_R2.fastq.gz
ix36	1	ILLUMINA	data/F04_L003_R1.fastq.gz	data/F04_L003_R2.fastq.gz
ix36	2	ILLUMINA	data/F04_L004_R1.fastq.gz	data/F04_L004_R2.fastq.gz
ix37	1	ILLUMINA	data/F05_L003_R1.fastq.gz	data/F05_L003_R2.fastq.gz
ix37	2	ILLUMINA	data/F05_L004_R1.fastq.gz	data/F05_L004_R2.fastq.gz
ix38	1	ILLUMINA	data/F06_L003_R1.fastq.gz	data/F06_L003_R2.fastq.gz
ix38	2	ILLUMINA	data/F06_L004_R1.fastq.gz	data/F06_L004_R2.fastq.gz
ix39	1	ILLUMINA	data/G01_L003_R1.fastq.gz	data/G01_L003_R2.fastq.gz
ix39	2	ILLUMINA	data/G01_L004_R1.fastq.gz	data/G01_L004_R2.fastq.gz
ix40	1	ILLUMINA	data/G02_L003_R1.fastq.gz	data/G02_L003_R2.fastq.gz
ix40	2	ILLUMINA	data/G02_L004_R1.fastq.gz	data/G02_L004_R2.fastq.gz
ix41	1	ILLUMINA	data/G03_L003_R1.fastq.gz	data/G03_L003_R2.fastq.gz
ix41	2	ILLUMINA	data/G03_L004_R1.fastq.gz	data/G03_L004_R2.fastq.gz
ix42	1	ILLUMINA	data/G04_L003_R1.fastq.gz	data/G04_L003_R2.fastq.gz
ix42	2	ILLUMINA	data/G04_L004_R1.fastq.gz	data/G04_L004_R2.fastq.gz
ix43	1	ILLUMINA	data/G05_L003_R1.fastq.gz	data/G05_L003_R2.fastq.gz
ix43	2	ILLUMINA	data/G05_L004_R1.fastq.gz	data/G05_L004_R2.fastq.gz
ix44	1	ILLUMINA	data/G06_L003_R1.fastq.gz	data/G06_L003_R2.fastq.gz
ix44	2	ILLUMINA	data/G06_L004_R1.fastq.gz	data/G06_L004_R2.fastq.gz
ix45	1	ILLUMINA	data/H02_L003_R1.fastq.gz	data/H02_L003_R2.fastq.gz
ix45	2	ILLUMINA	data/H02_L004_R1.fastq.gz	data/H02_L004_R2.fastq.gz
ix46	1	ILLUMINA	data/H03_L003_R1.fastq.gz	data/H03_L003_R2.fastq.gz
ix46	2	ILLUMINA	data/H03_L004_R1.fastq.gz	data/H03_L004_R2.fastq.gz
ix47	1	ILLUMINA	data/H04_L003_R1.fastq.gz	data/H04_L003_R2.fastq.gz
ix47	2	ILLUMINA	data/H04_L004_R1.fastq.gz	data/H04_L004_R2.fastq.gz
ix48	1	ILLUMINA	data/H05_L003_R1.fastq.gz	data/H05_L003_R2.fastq.gz
ix48	2	ILLUMINA	data/H05_L004_R1.fastq.gz	data/H05_L004_R2.fastq.gz
ix49	1	ILLUMINA	data/H06_L003_R1.fastq.gz	data/H06_L003_R2.fastq.gz
ix49	2	ILLUMINA	data/H06_L004_R1.fastq.gz	data/H06_L004_R2.fastq.gz
