run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
ERR15463935	SAMEA119567914	ERX14867867	PRJEB89160	9031	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/035/ERR15463935/ERR15463935_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/035/ERR15463935/ERR15463935_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15463935/C03_L003_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15463935/C03_L003_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR154/035/ERR15463935/ERR15463935.bam
ERR15464153	SAMEA119567917	ERX14868049	PRJEB89160	9031	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/053/ERR15464153/ERR15464153_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/053/ERR15464153/ERR15464153_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15464153/C06_L003_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15464153/C06_L003_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR154/053/ERR15464153/ERR15464153.bam
ERR15464172	SAMEA119567918	ERX14868068	PRJEB89160	9031	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/072/ERR15464172/ERR15464172_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/072/ERR15464172/ERR15464172_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15464172/D01_L004_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15464172/D01_L004_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR154/072/ERR15464172/ERR15464172.bam
ERR15464183	SAMEA119567919	ERX14868079	PRJEB89160	9031	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/083/ERR15464183/ERR15464183_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/083/ERR15464183/ERR15464183_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15464183/D02_L004_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15464183/D02_L004_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR154/083/ERR15464183/ERR15464183.bam
ERR15464225	SAMEA119567924	ERX14868121	PRJEB89160	9031	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/025/ERR15464225/ERR15464225_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/025/ERR15464225/ERR15464225_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15464225/E01_L003_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15464225/E01_L003_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR154/025/ERR15464225/ERR15464225.bam
ERR15464239	SAMEA119567925	ERX14868135	PRJEB89160	9031	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/039/ERR15464239/ERR15464239_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/039/ERR15464239/ERR15464239_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15464239/E02_L003_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15464239/E02_L003_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR154/039/ERR15464239/ERR15464239.bam
ERR15464264	SAMEA119567927	ERX14868160	PRJEB89160	9031	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/064/ERR15464264/ERR15464264_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/064/ERR15464264/ERR15464264_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15464264/E04_L004_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15464264/E04_L004_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR154/064/ERR15464264/ERR15464264.bam
ERR15464276	SAMEA119567929	ERX14868172	PRJEB89160	9031	Gallus gallus		ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15464276/E06_L003_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15464276/E06_L003_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR154/076/ERR15464276/ERR15464276.bam
ERR15464280	SAMEA119567929	ERX14868176	PRJEB89160	9031	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/080/ERR15464280/ERR15464280_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/080/ERR15464280/ERR15464280_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15464280/E06_L004_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15464280/E06_L004_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR154/080/ERR15464280/ERR15464280.bam
ERR15464283	SAMEA119567930	ERX14868179	PRJEB89160	9031	Gallus gallus		ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15464283/F01_L003_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15464283/F01_L003_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR154/083/ERR15464283/ERR15464283.bam
