run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	fastq_aspera	submitted_ftp	sra_ftp	bam_ftp
ERR2985656	SAMEA5160324	ERX2988180	PRJEB30270	9031	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/006/ERR2985656/ERR2985656.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/006/ERR2985656/ERR2985656_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/006/ERR2985656/ERR2985656_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/006/ERR2985656/ERR2985656.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/006/ERR2985656/ERR2985656_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/006/ERR2985656/ERR2985656_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR298/ERR2985656/i_WL_72655.recal.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR298/ERR2985656/i_WL_72655.recal.bam.bai	NA	NA
ERR2985533	SAMEA5160201	ERX2988057	PRJEB30270	9031	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/003/ERR2985533/ERR2985533.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/003/ERR2985533/ERR2985533_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/003/ERR2985533/ERR2985533_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/003/ERR2985533/ERR2985533.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/003/ERR2985533/ERR2985533_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/003/ERR2985533/ERR2985533_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR298/ERR2985533/i_RJFt_02A0242.recal.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR298/ERR2985533/i_RJFt_02A0242.recal.bam.bai	NA	NA
ERR2985535	SAMEA5160203	ERX2988059	PRJEB30270	9031	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/005/ERR2985535/ERR2985535.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/005/ERR2985535/ERR2985535_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/005/ERR2985535/ERR2985535_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/005/ERR2985535/ERR2985535.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/005/ERR2985535/ERR2985535_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/005/ERR2985535/ERR2985535_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR298/ERR2985535/i_RJFt_02A0262.recal.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR298/ERR2985535/i_RJFt_02A0262.recal.bam.bai	NA	NA
ERR2985536	SAMEA5160204	ERX2988060	PRJEB30270	9031	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/006/ERR2985536/ERR2985536.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/006/ERR2985536/ERR2985536_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/006/ERR2985536/ERR2985536_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/006/ERR2985536/ERR2985536.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/006/ERR2985536/ERR2985536_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/006/ERR2985536/ERR2985536_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR298/ERR2985536/i_RJFt_02A0281.recal.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR298/ERR2985536/i_RJFt_02A0281.recal.bam.bai	NA	NA
ERR2985542	SAMEA5160210	ERX2988066	PRJEB30270	9031	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/002/ERR2985542/ERR2985542.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/002/ERR2985542/ERR2985542_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/002/ERR2985542/ERR2985542_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/002/ERR2985542/ERR2985542.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/002/ERR2985542/ERR2985542_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/002/ERR2985542/ERR2985542_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR298/ERR2985542/i_RJFt_02C0451.recal.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR298/ERR2985542/i_RJFt_02C0451.recal.bam.bai	NA	NA
ERR2985543	SAMEA5160211	ERX2988067	PRJEB30270	9031	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/003/ERR2985543/ERR2985543.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/003/ERR2985543/ERR2985543_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/003/ERR2985543/ERR2985543_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/003/ERR2985543/ERR2985543.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/003/ERR2985543/ERR2985543_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/003/ERR2985543/ERR2985543_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR298/ERR2985543/i_RJFt_02C0461.recal.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR298/ERR2985543/i_RJFt_02C0461.recal.bam.bai	NA	NA
ERR2985544	SAMEA5160212	ERX2988068	PRJEB30270	9031	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/004/ERR2985544/ERR2985544.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/004/ERR2985544/ERR2985544_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/004/ERR2985544/ERR2985544_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/004/ERR2985544/ERR2985544.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/004/ERR2985544/ERR2985544_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/004/ERR2985544/ERR2985544_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR298/ERR2985544/i_RJFt_02C0521.recal.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR298/ERR2985544/i_RJFt_02C0521.recal.bam.bai	NA	NA
ERR2985545	SAMEA5160213	ERX2988069	PRJEB30270	9031	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/005/ERR2985545/ERR2985545.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/005/ERR2985545/ERR2985545_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/005/ERR2985545/ERR2985545_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/005/ERR2985545/ERR2985545.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/005/ERR2985545/ERR2985545_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/005/ERR2985545/ERR2985545_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR298/ERR2985545/i_RJFt_02C0561.recal.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR298/ERR2985545/i_RJFt_02C0561.recal.bam.bai	NA	NA
ERR2985547	SAMEA5160215	ERX2988071	PRJEB30270	9031	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/007/ERR2985547/ERR2985547.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/007/ERR2985547/ERR2985547_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/007/ERR2985547/ERR2985547_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/007/ERR2985547/ERR2985547.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/007/ERR2985547/ERR2985547_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/007/ERR2985547/ERR2985547_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR298/ERR2985547/i_RJFt_02D1332.recal.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR298/ERR2985547/i_RJFt_02D1332.recal.bam.bai	NA	NA
ERR2985548	SAMEA5160216	ERX2988072	PRJEB30270	9031	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/008/ERR2985548/ERR2985548.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/008/ERR2985548/ERR2985548_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/008/ERR2985548/ERR2985548_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/008/ERR2985548/ERR2985548.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/008/ERR2985548/ERR2985548_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/008/ERR2985548/ERR2985548_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR298/ERR2985548/i_RJFt_02D1342.recal.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR298/ERR2985548/i_RJFt_02D1342.recal.bam.bai	NA	NA
