term_name,term_id,p_value,term_size,query_size,intersection_size,precision,recall,source,effective_domain_size,source_order,parents,evidence_codes,intersection
Membrane Trafficking,REAC:R-GGA-199991,0.03699613721254304,387,14,5,0.35714285714285715,0.012919896640826873,REAC,5310,775,REAC:R-GGA-5653656,"REAC,REAC,REAC,REAC,REAC","ENSGALG00000008457,ENSGALG00000009916,ENSGALG00000042210,ENSGALG00000000993,ENSGALG00000001025"
Retrograde transport at the Trans-Golgi-Network,REAC:R-GGA-6811440,0.03699613721254304,26,14,2,0.14285714285714285,0.07692307692307693,REAC,5310,1241,REAC:R-GGA-6811442,"REAC,REAC","ENSGALG00000042210,ENSGALG00000001025"
Vesicle-mediated transport,REAC:R-GGA-5653656,0.03699613721254304,401,14,5,0.35714285714285715,0.012468827930174564,REAC,5310,1589,REAC:0000000,"REAC,REAC,REAC,REAC,REAC","ENSGALG00000008457,ENSGALG00000009916,ENSGALG00000042210,ENSGALG00000000993,ENSGALG00000001025"
