CHROM,POPULATION,SD,MIN,MAX,MEAN
1,broiler line A,0.7696528919226171,-2.90057,4.2319,1.1984765273557594
1,broiler line B,0.9178943385549749,-2.9177,4.22294,1.3023297664310423
1,brown layer,1.514461928538884,-2.92845,4.50988,1.5885186766061246
1,ixworth,1.0657384537667822,-2.90472,5.29723,1.7297989162679968
1,red junglefowl,0.46760651724544616,-1.35832,3.31701,0.9126318831377976
1,white layer,1.8801413771202833,-2.95906,4.5778,1.4984442234932267
2,broiler line A,0.887639240367965,-2.92615,4.30017,1.2410978746523489
2,broiler line B,1.057305219108881,-2.8965,4.29181,1.2812263251448963
2,brown layer,1.8139319561760967,-2.95461,4.49439,1.2481312026777316
2,ixworth,0.871599239918253,-2.80894,5.28833,1.9255229580633897
2,red junglefowl,0.4679388344706542,-1.54154,2.65699,0.8987168442195973
2,white layer,1.9157622216642218,-2.96355,4.58544,1.1340476480173445
3,broiler line A,0.6881597279878451,-2.01896,4.33119,1.1895792194989108
3,broiler line B,0.8617995394378863,-2.89637,4.18293,1.2704082763613231
3,brown layer,1.742783004168741,-2.92737,4.49702,1.3622866666967985
3,ixworth,0.8151738390482356,-2.06371,4.81253,1.9066993578156748
3,red junglefowl,0.4413277394805676,-1.80836,2.51444,0.8920718824301778
3,white layer,1.884659783616744,-2.941,4.58968,1.5067563263441712
4,broiler line A,0.7843904783353333,-2.15841,3.3927,1.0362034078996036
4,broiler line B,0.8299650789592652,-2.79116,4.28613,1.2991975155261999
4,brown layer,1.5040436771296202,-2.94582,4.51443,1.3022903838809414
4,ixworth,0.831457556747501,-2.67486,5.05453,2.058140523647732
4,red junglefowl,0.4427893875196634,-1.03952,2.89531,0.8234006281638044
4,white layer,1.791833393515593,-2.93402,4.48634,1.1520126775368522
5,broiler line A,0.8806325827164494,-2.88946,4.0678,1.2026264681132075
5,broiler line B,1.0718296396719058,-2.80163,4.19646,1.1931302901706484
5,brown layer,1.3665871397540736,-2.91691,4.49025,1.840107072077922
5,ixworth,1.0936165527606934,-2.90857,4.71643,1.7624283471341875
5,red junglefowl,0.4950003286066543,-1.79926,2.27187,0.7510759147169811
5,white layer,2.1028207457315418,-2.953,4.54757,0.9545286185281385
6,broiler line A,0.5886595137901078,-1.18457,3.30939,1.2553135789520624
6,broiler line B,0.8823475552513957,-2.19908,4.22075,1.39133361640625
6,brown layer,1.4698598398961678,-2.83792,4.49724,1.5089873709966024
6,ixworth,0.9323399226000872,-2.10459,4.99102,1.9450223693191964
6,red junglefowl,0.3941182030476131,-0.921061,3.05972,0.8511586668896322
6,white layer,1.5830523487708161,-2.78433,4.45337,1.3161740491560694
7,broiler line A,0.7137179172789548,-1.83009,3.27543,1.1945379703642385
7,broiler line B,0.8057762921939334,-2.20194,3.7273,1.3663294342668137
7,brown layer,1.668195957601991,-2.92886,4.38154,1.5751291969788184
7,ixworth,0.6820589068712035,-1.1524,4.16054,2.036271142384106
7,red junglefowl,0.48247696632588327,-1.49194,2.42787,0.8441938046306505
7,white layer,1.8114882106464452,-2.92833,4.5028,1.6760615267156862
8,broiler line A,0.9029492755735553,-2.06358,4.05865,1.2196653629110512
8,broiler line B,1.0018997004088543,-1.64982,3.79128,1.1251756670283402
8,brown layer,1.3545989728528722,-2.59662,4.28603,1.5697546628808865
8,ixworth,1.1461021490004586,-2.63982,5.3353,2.085716973351279
8,red junglefowl,0.5494854372256306,-1.61985,2.70298,0.7838943550472335
8,white layer,1.6632020439551745,-2.90359,4.34123,1.325421027191679
9,broiler line A,0.6275631571002249,-2.53118,2.90453,1.0571056125383305
9,broiler line B,0.8140475125059737,-2.81849,3.36378,1.154844773867121
9,brown layer,1.900540364960739,-2.44039,4.42951,1.4976253078238342
9,ixworth,0.6996150752616069,-0.588058,5.10226,2.1012536945860307
9,red junglefowl,0.33738735913353846,-0.56224,1.76801,0.8109793829812606
9,white layer,1.925579946509463,-2.95676,4.45052,0.7619781925265038
10,broiler line A,0.6576513161523146,-1.17651,3.05578,1.0520556190802348
10,broiler line B,0.6876403458841215,-0.995403,3.72712,1.2476161786888453
10,brown layer,1.5672833171690652,-2.91289,4.50151,1.7749995712895927
10,ixworth,0.8055913099777753,-1.35372,5.24559,2.1412911387159532
10,red junglefowl,0.3794237239155012,-1.20241,2.82478,0.964092631640625
10,white layer,2.1397948677385834,-2.91758,4.56253,1.053858350209205
11,broiler line A,0.7225082675853288,-1.82406,3.25331,1.054398623326572
11,broiler line B,0.8246843871993992,-2.23262,3.47454,1.1162915953144017
11,brown layer,1.5198008045768663,-2.38704,4.38873,1.9587396708768268
11,ixworth,0.8244273919136768,-1.9286,3.98202,1.9076538770791076
11,red junglefowl,0.4301212550086052,-0.870025,2.49809,0.8872969176470589
11,white layer,1.9518283545466706,-2.88935,4.4805,0.8861037323660714
12,broiler line A,0.6310475320892099,-1.40715,2.53072,1.129754414468182
12,broiler line B,0.6400246808290849,-2.38556,3.02401,1.1445820786534653
12,brown layer,1.5747458561421406,-2.92333,4.45736,1.4703018253493014
12,ixworth,0.5593470877517341,-0.113248,5.14709,2.058435188605108
12,red junglefowl,0.2976933264408116,-0.711416,2.79615,0.8906616102564102
12,white layer,1.7052844388760384,-2.92418,4.56726,1.4256878560327197
13,broiler line A,0.5895169538987567,-1.3094,2.82037,1.1579456394967462
13,broiler line B,0.7545406528890805,-1.73377,3.38185,1.2767947166306695
13,brown layer,1.4824812834241188,-2.13306,4.45341,1.347121845623472
13,ixworth,0.7303654506949941,-0.971946,4.07424,1.9235363514038877
