POPULATION,MEAN,SD,MIN,MAX
broiler line A,1.1512190045495363,0.7612006741243711,-2.92615,4.33119
broiler line B,1.2562307837868987,0.9004165809130467,-2.92185,4.32056
brown layer,1.4687826386913192,1.5905667976546116,-2.95461,4.51443
ixworth,1.8530076982108312,0.9308479414419296,-2.90857,5.3353
red junglefowl,0.8569363691993765,0.45859870504927536,-1.94469,3.82731
white layer,1.3081666992659142,1.8570706362776506,-2.96355,4.58968
