POPULATION,MEAN_F,SD_F,MEAN_E_HOM,MEAN_O_HOM,MEAN_O_HET
broiler line A,0.04,0.07,0.30806899603180377,7845255,0.2951948719722908
broiler line B,0.03,0.03,0.31511386392512647,7065921.05,0.30655153345928254
brown layer,0.13,0.1,0.32199195259355445,4698443.652173913,0.2790314025557108
ixworth,-0.02,0.06,0.3014441850031445,7630327.979591837,0.3076964908469031
red junglefowl,0.05,0.12,0.27799544353206185,10544050.88,0.2627851445427941
white layer,0.08,0.08,0.3110407011814228,3698658.625,0.28661715379373653
